dataset_type,value
original,6423388
original,6550634
original,4304572
original,2234489
original,9958614
original,9524682
original,7204212
original,9628519
original,4472471
original,4523669
original,7404852
original,4981505
original,1766891
original,4521373
original,6019877
original,3344769
original,9180351
original,103355
original,1262752
original,9784633
original,5664789
original,9695979
original,9305648
original,5743066
original,6113790
original,4721339
original,9889550
original,3275709
original,84654
original,5147581
original,1954354
original,8242680
original,2428388
original,8916786
original,2663046
original,5499720
original,6640913
original,3416664
original,3385659
original,3385357
original,1465689
original,68148
original,1825665
original,2745683
original,4056518
original,2669995
original,4997895
original,6397986
original,1870928
original,4155299
original,6249859
original,2305413
original,3910197
original,5558019
original,5414709
original,271836
original,3584702
original,7281369
original,2299435
original,8585377
original,2658505
original,1271741
original,3769315
original,1046797
original,3047262
original,9973006
original,564685
original,2879190
original,5596411
original,9700344
original,1007293
original,4774183
original,3366612
original,8411855
original,5267180
original,7807313
original,2704238
original,2630708
original,3494679
original,5517209
original,1767640
original,6723771
original,1285160
original,6080526
original,5173036
original,1425472
original,48984
original,6556168
original,1504384
original,2230919
original,6940119
original,1737095
original,4780450
original,7469344
original,2109818
original,2231785
original,3853339
original,9467719
original,996107
original,7130144
original,4545583
original,3747389
original,4142807
original,7988004
original,6245035
original,3602279
original,5515989
original,2121690
original,491234
original,9909709
original,5401218
original,6914550
original,6167294
original,9286029
original,6906726
original,5888794
original,7558158
original,6510425
original,8511017
original,7887739
original,769598
original,5292895
original,7971379
original,3331068
original,3256415
original,874371
original,5654237
original,973548
original,3344014
original,7064746
original,9602083
original,6216204
original,5193542
original,2959034
original,4574293
original,6706971
original,43585
original,2539448
original,109556
original,1575557
original,8306461
original,2009021
original,1201482
original,542335
original,4270070
original,6700379
original,3560920
original,6860006
original,2484413
original,2907360
original,5895544
original,5697469
original,2235000
original,6908531
original,4322252
original,5822184
original,402690
original,2548421
original,1954109
original,4422880
original,7205547
original,8323735
original,6457294
original,1384250
original,61087
original,6409907
original,1496176
original,39353
original,6484531
original,3360011
original,7654909
original,4259622
original,4959617
original,5725570
original,416880
original,7072695
original,7433296
original,4965050
original,813168
original,225281
original,3782875
original,2995765
original,7734102
original,5595108
original,5674719
original,8658144
original,6609280
original,5500306
original,4372093
original,1561729
original,5031595
original,5478047
original,9070277
original,1119043
original,7103230
original,2558231
original,6659908
original,3080389
original,1661909
original,2656138
original,110078
original,1915631
original,6314127
original,9792712
original,2008187
original,1659066
original,2148815
original,7355740
original,4506259
original,7473915
original,7658426
original,6404003
original,4135314
original,910681
original,1607618
original,3896830
original,4336787
original,2755423
original,71295
original,9132582
original,7613287
original,3445376
original,5251035
original,3612600
original,825816
original,8763313
original,2026793
original,554594
original,8536326
original,3504473
original,7299695
original,2204664
original,4341747
original,9907771
original,686976
original,2472189
original,8506404
original,1241082
original,5184502
original,6561000
original,6671458
original,4892306
original,3674515
original,1579159
original,9295925
original,4515488
original,6041495
original,9056842
original,8767088
original,6324167
original,791971
original,501157
original,4378727
original,4124499
original,5946594
original,5106799
original,4327576
original,4962140
original,2799487
original,2904941
original,7983441
original,5320385
original,2100021
original,9749436
original,6928040
original,618467
original,5333152
original,7328141
original,5072148
original,1707923
original,5134207
original,8516999
original,6730886
original,9405634
original,5853584
original,8170528
original,4301754
original,2269042
original,1983509
original,7740141
original,116381
original,1521701
original,6105525
original,9587994
original,3438618
original,7913697
original,2457184
original,4103022
original,1418175
original,3806688
original,7265795
original,3772962
original,4041776
original,2727423
original,5709840
original,5130397
original,3451356
original,9520173
original,3444084
original,2927109
original,6979451
original,8519981
original,7778484
original,8503902
original,6214624
original,4842611
original,6357182
original,4335868
original,9814996
original,2215167
original,3886402
original,6545535
original,6842385
original,9078552
original,688105
original,1989173
original,3080761
original,1414466
original,445101
original,8106609
original,7413023
original,7613269
original,1105534
original,9972201
original,9613273
original,4353127
